Stanum,Lat,Lon,Rain,Mean,Var
56251,3056,10019,-0.11,4.93,50.29
56257,3000,10016,-1.08,4.65,40.71
56312,2940,9420,-0.55,2.9,31.97
56331,2940,9750,-1.25,3.03,16.68
56357,2903,10018,-0.37,3.93,40.53
56374,3003,10158,-0.95,2.99,29.18
56385,2931,10320,1.83,24.12,1564.74
56386,2934,10345,-0.19,6.74,182.78
56434,2840,9728,-0.59,2.36,15.06
56444,2829,9854,1.04,1.63,11.83
56459,2756,10117,-0.6,4.88,49.53
56462,2900,10130,-1.33,4.93,52.79
56475,2839,10231,1.86,10.84,269.56
56479,2800,10251,-0.93,4.9,66.01
56485,2816,10335,-1.01,6.0,109.5
56492,2846,10436,-1.0,6.26,162.02
56533,2745,9840,-0.05,3.64,50.71
56543,2751,9945,0.5,3.18,30.56
56548,2711,9917,0.54,3.33,29.09
56565,2726,10129,0.24,3.56,66.98
56571,2754,10216,-0.75,6.54,209.66
56586,2721,10343,-1.06,3.68,54.39
56643,2552,9851,-0.94,3.09,46.49
56651,2651,10013,-0.24,5.27,92.45
56664,2638,10116,0.01,5.13,98.9
56666,2635,10143,-1.02,2.34,63.34
56671,2639,10215,0.78,3.13,55.15
56684,2624,10315,0.32,3.04,95.17
56691,2652,10417,0.45,2.15,27.0
56739,2459,9830,-0.36,6.91,144.69
56748,2507,9911,-0.95,6.37,113.26
56751,2542,10011,0.72,4.17,75.39
56778,2500,10239,0.73,3.54,90.83
56792,2547,10458,-0.58,5.97,292.11
56793,2545,10432,0.65,3.58,66.3
56856,2426,10052,0.76,3.62,37.92
56875,2420,10233,0.04,3.74,64.97
56886,2432,10346,0.64,2.37,32.76
56946,2332,9923,-0.56,6.58,105.63
56951,2353,10007,-0.66,6.52,105.01
56954,2234,9956,-0.96,9.01,138.93
56964,2247,10058,0.16,7.06,139.33
56966,2338,10158,0.12,2.48,25.43
56969,2128,10135,-0.92,9.34,305.76
56977,2236,10151,0.83,7.85,204.38
56991,2336,10420,-0.7,5.29,118.63
57003,3454,10650,-0.29,4.79,103.19
57014,3434,10552,-0.98,3.23,57.3
57025,3431,10723,-0.14,4.87,128.51
57028,3404,10719,-0.22,5.4,123.23
57030,3442,10809,-1.0,3.3,59.44
57034,3419,10814,-1.06,3.36,77.85
57037,3456,10858,-0.57,3.6,76.82
57046,3429,11005,0.12,5.51,161.25
57048,3424,10843,-0.08,3.6,63.84
57051,3443,11115,-0.66,3.43,105.86
57052,3453,11027,0.07,3.74,88.54
57071,3448,11228,-0.04,4.68,148.58
57083,3442,11340,0.62,1.7,11.73
57089,3404,11356,-0.18,2.64,25.69
57091,3448,11418,0.45,0.93,5.98
57106,3319,10609,-0.49,4.89,125.08
57124,3337,10655,-0.84,5.11,132.69
57127,3304,10702,0.83,7.4,190.58
57131,3426,10858,-0.4,0.0,0.0
57134,3331,10759,-0.95,4.87,100.76
57143,3351,10958,1.78,6.79,248.46
57144,3326,10909,-0.48,2.97,33.93
57154,3332,11054,-0.69,3.75,34.49
57156,3319,11129,0.29,2.49,12.7
57178,3306,11229,-0.36,5.51,62.19
57181,3352,11302,-0.85,4.88,72.42
57193,3347,11431,-1.19,3.95,129.15
57206,3225,10554,0.26,8.24,891.21
57211,3250,10615,1.06,9.87,435.05
57232,3303,10816,-0.53,5.49,77.46
57237,3204,10802,-0.29,7.95,439.17
57238,3231,10754,-0.92,4.8,96.96
57245,3242,10903,-0.63,4.75,105.37
57251,3300,11024,0.74,6.64,133.75
57256,3239,11047,1.7,8.08,205.18
57259,3202,11046,-0.68,5.05,73.48
57265,3226,11144,0.54,6.95,269.89
57278,3200,11205,-0.07,6.28,139.73
57279,3208,11245,0.36,6.76,174.65
57285,3221,11324,4.78,20.1,3027.51
57290,3256,11355,0.1,7.94,729.69
57297,3208,11403,1.79,11.19,828.71
57306,3135,10559,0.69,9.69,427.94
57313,3153,10647,1.78,10.84,550.7
57328,3112,10730,-0.74,6.4,289.97
57343,3154,10932,-0.96,5.1,88.34
57348,3102,10929,-0.14,2.18,41.02
57355,3103,11021,-0.35,2.89,30.91
57359,3121,11044,-0.34,6.11,199.45
57378,3112,11238,-0.59,2.98,45.9
57381,3137,11320,-0.73,5.19,135.57
57395,3135,11410,-1.06,4.55,188.72
57399,3108,11457,-1.06,3.74,306.19
57405,3030,10533,-1.4,4.82,259.39
57411,3045,10608,0.2,7.18,591.66
57432,3046,10824,-0.39,3.14,67.3
57439,3017,10856,-0.38,3.7,87.33
