Stanum,Lat,Lon,Rain,Mean,Var
57154,3332,11054,-77.41,1.23,5.14
57156,3319,11129,-58.75,2.5,58.27
57178,3306,11229,-70.01,1.7,43.6
57181,3352,11302,-39.95,3.14,167.75
57193,3347,11431,-78.92,1.33,18.86
57206,3225,10554,-60.25,3.2,69.1
57211,3250,10615,-62.37,2.69,40.99
57232,3303,10816,-35.88,3.62,65.47
57237,3204,10802,-31.67,5.74,98.99
57238,3231,10754,-42.68,4.95,115.44
57245,3242,10903,-42.35,2.6,47.82
57251,3300,11024,-36.35,3.01,33.91
57256,3239,11047,-40.6,2.15,27.44
57259,3202,11046,-27.41,3.32,33.14
57265,3226,11144,-22.27,3.03,92.94
57278,3200,11205,-45.3,2.49,50.22
57279,3208,11245,-42.66,3.06,65.4
57285,3221,11324,-42.31,4.18,422.56
57290,3256,11355,-51.48,3.17,272.79
57297,3208,11403,-38.53,4.24,310.44
57306,3135,10559,-43.07,3.65,96.08
57313,3153,10647,-41.56,4.34,49.74
57328,3112,10730,-39.16,3.95,74.18
57343,3154,10932,-3.12,5.4,176.67
57348,3102,10929,-31.55,3.89,48.6
57355,3103,11021,-44.39,3.18,41.39
57359,3121,11044,-32.93,3.34,35.96
57378,3112,11238,40.6,7.89,368.17
57381,3137,11320,-18.37,4.91,128.15
57395,3135,11410,15.29,9.05,614.23
57399,3108,11457,237.13,26.01,3783.58
57405,3030,10533,-35.71,3.93,212.57
57411,3045,10608,-41.08,3.38,101.0
57432,3046,10824,-24.92,4.55,79.31
57439,3017,10856,-8.23,6.03,272.39
57445,3036,10943,-27.02,6.47,139.46
57447,3017,10928,13.26,9.02,309.68
57458,3009,11104,57.52,12.37,470.51
57461,3044,11122,-25.1,5.12,74.17
57476,3021,11209,137.66,12.0,625.08
57482,3054,11357,218.38,20.22,2462.04
57483,3040,11308,149.25,14.22,905.21
57494,3036,11403,255.58,23.24,1820.64
57502,2943,10542,-33.46,3.75,85.65
57503,2937,10507,-100.0,0.0,0.0
57512,2958,10616,18.39,6.63,264.99
57516,2935,10628,-2.28,5.21,171.98
57517,2917,10615,-49.23,2.54,23.23
57520,2950,10704,96.53,8.62,368.42
57523,2954,10746,63.71,6.94,169.19
57536,2931,10846,44.0,7.93,248.43
