Stanum,Lat,Lon,Rain,Mean,Var
57028,3404,10719,6.74,5.47,69.66
57030,3442,10809,6.39,6.31,266.72
57034,3419,10814,13.31,3.47,59.66
57037,3456,10858,6.01,6.42,348.09
57046,3429,11005,7.79,5.48,88.89
57048,3424,10843,18.48,2.48,25.24
57051,3443,11115,14.74,3.23,56.3
57052,3453,11027,14.65,4.02,84.26
57071,3448,11228,9.42,4.81,72.05
57083,3442,11340,11.25,3.76,123.29
57089,3404,11356,13.8,2.07,25.19
57091,3448,11418,14.05,2.08,33.47
57106,3319,10609,7.85,5.41,109.05
57124,3337,10655,3.88,8.67,227.61
57127,3304,10702,13.77,2.56,19.63
57131,3426,10858,0.0,0.0,0.0
57134,3331,10759,4.02,8.59,225.0
57143,3351,10958,6.07,6.41,130.48
57144,3326,10909,8.06,5.48,108.51
57154,3332,11054,4.67,7.73,185.33
57156,3319,11129,5.9,6.89,218.45
57178,3306,11229,11.64,3.45,67.02
57181,3352,11302,4.27,8.22,287.96
57193,3347,11431,14.77,0.95,4.95
57206,3225,10554,4.17,8.61,297.1
57211,3250,10615,4.43,7.97,175.85
57232,3303,10816,8.39,5.16,90.66
57237,3204,10802,7.21,5.49,102.08
57238,3231,10754,8.43,4.35,48.88
57245,3242,10903,10.91,4.09,114.17
57251,3300,11024,6.88,5.94,96.87
57256,3239,11047,9.37,5.05,59.71
57259,3202,11046,8.64,4.84,96.11
57265,3226,11144,5.44,6.79,227.32
57278,3200,11205,6.04,6.65,210.43
57279,3208,11245,3.46,9.2,784.55
57285,3221,11324,10.88,2.76,72.41
57290,3256,11355,11.65,2.75,48.85
57297,3208,11403,6.96,5.82,135.26
57306,3135,10559,7.4,5.68,141.81
57313,3153,10647,10.39,3.42,54.3
57328,3112,10730,9.14,4.47,226.26
57343,3154,10932,9.67,4.05,62.26
57348,3102,10929,7.62,5.57,134.34
57355,3103,11021,7.6,5.59,256.2
57359,3121,11044,7.54,5.65,271.78
57378,3112,11238,6.76,6.27,264.75
57381,3137,11320,7.24,5.88,250.67
57395,3135,11410,6.94,6.35,279.3
57399,3108,11457,7.28,6.1,203.2
57405,3030,10533,10.76,3.46,57.2
57411,3045,10608,7.98,5.72,188.05
57432,3046,10824,12.19,2.34,35.48
57439,3017,10856,8.45,4.79,64.09
57445,3036,10943,4.55,8.22,441.97
57447,3017,10928,11.48,2.71,33.55
57458,3009,11104,5.43,6.79,214.99
57461,3044,11122,2.23,12.81,1739.33
57476,3021,11209,10.69,4.41,71.07
57482,3054,11357,7.09,6.23,213.91
57483,3040,11308,6.67,6.52,255.63
57494,3036,11403,3.01,10.14,484.36
57502,2943,10542,9.56,4.05,89.83
57503,2937,10507,0.0,0.0,0.0
57512,2958,10616,13.5,2.33,30.5
57516,2935,10628,13.21,2.47,26.2
57517,2917,10615,14.57,1.71,25.6
57520,2950,10704,13.38,2.6,40.69
57523,2954,10746,15.78,1.77,18.08
57536,2931,10846,7.79,5.4,156.0
57545,2932,10925,9.52,4.18,78.54
57554,2924,11010,9.18,4.25,70.75
57562,2935,11122,6.79,6.39,150.24
