Stanum,Lat,Lon,Rain,Mean,Var
56247,3000,9906,-0.24,4.32,54.65
56251,3056,10019,0.93,3.01,21.0
56257,3000,10016,0.47,4.98,28.27
56312,2940,9420,0.22,3.63,32.79
56331,2940,9750,0.47,4.3,48.22
56357,2903,10018,-0.98,7.72,89.11
56374,3003,10158,-0.21,4.09,35.16
56385,2931,10320,0.06,10.42,914.51
56386,2934,10345,0.95,5.11,190.81
56434,2840,9728,-0.78,5.59,68.94
56444,2829,9854,-1.56,6.74,122.26
56459,2756,10117,-1.31,9.46,154.36
56462,2900,10130,-0.58,6.77,71.02
56475,2839,10231,-2.02,11.51,188.33
56479,2800,10251,-0.41,6.93,89.06
56485,2816,10335,0.21,4.5,51.08
56492,2846,10436,0.44,5.41,302.38
56533,2745,9840,-0.97,7.68,120.87
56543,2751,9945,-1.39,7.69,81.09
56548,2711,9917,-0.33,5.69,71.03
56565,2726,10129,-1.19,9.0,168.3
56571,2754,10216,-0.34,7.54,139.78
56586,2721,10343,-0.27,5.14,83.63
56643,2552,9851,-0.54,8.69,258.23
56651,2651,10013,0.25,6.93,47.74
56664,2638,10116,-1.0,11.95,253.12
56666,2635,10143,0.37,7.52,152.83
56671,2639,10215,-1.6,15.05,597.0
56684,2624,10315,-1.72,9.26,220.78
56691,2652,10417,-0.57,6.35,51.51
56739,2459,9830,-0.97,11.34,133.07
56748,2507,9911,-0.65,6.44,92.77
56751,2542,10011,-0.07,5.89,64.79
56778,2500,10239,-1.62,11.88,253.24
56792,2547,10458,-1.75,18.3,488.23
56793,2545,10432,-2.13,17.56,593.93
56856,2426,10052,-1.3,9.45,104.47
56875,2420,10233,-1.62,9.52,109.14
56886,2432,10346,-2.12,12.15,488.94
56946,2332,9923,-1.22,11.88,119.44
56951,2353,10007,-0.98,9.91,77.12
56954,2234,9956,-1.04,13.76,123.43
56964,2247,10058,-1.25,14.91,274.4
56966,2338,10158,-0.77,5.17,66.29
56969,2128,10135,-1.57,17.67,706.51
56977,2236,10151,-0.26,15.97,191.81
56991,2336,10420,-1.8,10.26,175.67
57003,3454,10650,1.09,1.9,27.15
57014,3434,10552,0.47,2.83,57.45
57025,3431,10723,1.27,0.78,3.02
57028,3404,10719,1.54,1.83,10.06
57030,3442,10809,1.12,1.39,9.87
57034,3419,10814,1.0,1.05,5.64
57037,3456,10858,0.93,1.45,12.11
57046,3429,11005,0.04,4.64,186.66
57048,3424,10843,0.97,1.46,12.56
57051,3443,11115,-0.28,4.17,227.92
57052,3453,11027,0.77,1.85,35.34
57071,3448,11228,1.26,0.78,5.91
57083,3442,11340,1.39,1.3,12.1
57089,3404,11356,0.18,4.68,161.27
57091,3448,11418,0.76,3.08,102.8
57106,3319,10609,-0.29,6.42,166.23
57124,3337,10655,-0.19,5.37,190.66
57127,3304,10702,0.61,3.87,88.99
57131,3426,10858,-0.54,0.0,0.0
57134,3331,10759,0.2,5.5,126.48
57143,3351,10958,0.41,3.53,142.79
57144,3326,10909,0.77,3.24,68.94
57154,3332,11054,-1.48,10.68,631.11
57156,3319,11129,0.14,5.12,159.74
57178,3306,11229,0.07,4.92,149.38
57181,3352,11302,0.66,3.37,43.05
57193,3347,11431,-0.25,6.27,447.64
57206,3225,10554,-0.49,9.19,292.09
57211,3250,10615,0.72,4.34,49.7
57232,3303,10816,-0.38,6.09,464.77
57237,3204,10802,-0.71,10.55,553.99
57238,3231,10754,0.31,6.21,256.82
57245,3242,10903,-0.63,5.64,160.69
57251,3300,11024,-2.45,12.7,3605.18
57256,3239,11047,0.88,2.69,64.97
57259,3202,11046,-1.08,6.46,287.45
57265,3226,11144,0.59,2.59,76.65
57278,3200,11205,0.61,2.85,29.43
57279,3208,11245,-1.34,9.68,626.83
57285,3221,11324,-1.1,10.7,1355.94
57290,3256,11355,0.79,3.37,164.6
57297,3208,11403,-0.55,8.05,922.12
57306,3135,10559,-0.44,7.14,345.44
57313,3153,10647,0.31,5.72,176.79
57328,3112,10730,0.12,5.96,171.69
57343,3154,10932,0.15,4.81,69.53
57348,3102,10929,-1.01,8.1,301.94
57355,3103,11021,-0.58,6.8,161.32
57359,3121,11044,-1.22,7.77,182.31
57378,3112,11238,-0.23,6.0,138.42
57381,3137,11320,0.52,3.95,51.78
57395,3135,11410,-0.46,8.8,650.75
57399,3108,11457,-1.01,11.77,323.08
57405,3030,10533,-0.18,6.09,205.87
57411,3045,10608,0.31,4.61,148.47
57432,3046,10824,-0.03,5.86,153.83
57439,3017,10856,-0.81,8.8,374.33
57445,3036,10943,-1.24,15.13,1040.69
57447,3017,10928,-1.48,17.26,1222.34
57458,3009,11104,-1.03,12.17,919.3
57461,3044,11122,-1.56,12.52,408.5
57476,3021,11209,-1.26,8.81,507.78
57482,3054,11357,-0.94,9.45,536.05
57483,3040,11308,-0.2,5.92,305.66
57494,3036,11403,-0.97,9.49,500.53
57502,2943,10542,-0.06,5.48,163.31
57503,2937,10507,-0.67,0.0,0.0
57512,2958,10616,-0.29,5.78,142.8
57516,2935,10628,0.01,5.21,218.57
57517,2917,10615,-1.08,7.69,281.92
57520,2950,10704,-0.27,4.73,79.93
57523,2954,10746,0.01,4.13,110.34
57536,2931,10846,-0.99,8.03,202.91
57545,2932,10925,-0.29,7.04,106.09
57554,2924,11010,0.05,5.61,75.6
57562,2935,11122,0.78,3.91,47.97
57573,2953,11254,-0.56,6.73,355.63
57574,2921,11226,-0.85,6.94,377.85
57581,2949,11327,-1.26,9.73,735.58
57583,2955,11358,-0.38,6.4,189.94
57584,2923,11305,0.23,3.65,117.79
57598,2902,11435,-0.47,6.49,157.04
57606,2808,10650,0.18,4.25,72.76
57608,2810,10526,0.37,4.12,40.55
57612,2900,10639,-1.13,7.11,221.64
57625,2832,10727,-1.78,10.44,408.17
57633,2849,10846,-0.68,7.34,141.09
57642,2841,10939,-0.41,6.25,101.98
57647,2810,10912,0.16,4.69,80.77
57649,2814,10941,0.12,5.37,71.53
57655,2828,11024,0.38,4.12,47.0
57662,2907,11141,0.02,5.0,172.84
57669,2823,11113,-0.27,6.16,113.56
57671,2851,11222,-0.74,6.34,283.8
57673,2844,11256,0.58,3.28,45.51
57679,2813,11312,0.07,4.56,113.76
57682,2843,11334,-0.21,5.56,211.29
57687,2807,11247,-0.27,6.82,183.54
57696,2823,11446,-1.08,8.36,213.35
57707,2718,10517,-0.82,6.8,141.13
57710,2748,10624,-0.75,6.29,113.72
57718,2706,10643,-0.91,7.48,301.91
57722,2747,10730,-1.35,8.62,408.89
57729,2714,10753,0.24,3.92,35.91
57731,2756,10815,-0.24,5.1,95.76
57741,2744,10911,0.17,4.95,65.4
57745,2727,10941,0.23,4.3,72.95
57752,2755,11036,0.23,3.95,58.02
57761,2745,11118,-0.5,6.23,84.54
57774,2727,11210,-1.52,8.23,217.07
57776,2718,11242,-1.95,15.54,1072.65
57779,2703,11321,-1.24,6.82,402.83
57780,2752,11310,0.01,4.38,96.36
57789,2708,11357,-1.6,8.74,512.76
57793,2747,11422,-1.06,7.83,350.77
57799,2703,11455,-0.96,6.52,319.65
57803,2701,10601,-0.39,5.6,108.51
57805,2641,10546,-0.66,9.62,159.15
57806,2615,10554,-0.96,10.17,128.12
57816,2635,10644,-0.31,5.93,67.07
57825,2636,10759,0.07,4.77,68.16
57827,2619,10731,-0.83,10.11,323.52
57832,2658,10840,-0.94,6.43,181.75
57839,2614,10908,-0.15,4.48,91.27
57840,2654,10912,-0.99,7.55,202.45
57845,2610,10947,-0.12,4.81,109.52
57866,2614,11137,-0.75,5.6,145.36
57872,2653,11236,-1.36,6.53,282.92
57874,2625,11224,0.47,2.94,81.4
57889,2605,11357,-1.63,11.58,270.59
57894,2635,11410,-0.43,8.05,105.01
57896,2620,11431,-1.88,9.28,141.68
57902,2526,10511,-1.4,13.11,309.56
57906,2511,10605,-0.66,8.46,138.37
57907,2505,10454,-1.85,21.11,2004.78
57910,2546,10605,-1.12,11.87,250.53
57912,2609,10639,-0.97,9.81,276.94
57916,2526,10646,-1.3,10.45,310.85
57922,2550,10733,-1.18,11.69,274.37
57926,2525,10753,-1.19,11.13,120.08
57932,2556,10831,-0.64,6.42,95.14
57947,2514,10924,-1.05,13.04,254.6
57957,2519,11018,-0.8,10.0,224.34
57965,2532,11136,-1.04,6.93,126.6
57972,2544,11258,-0.42,4.44,86.65
57974,2535,11222,-1.57,7.19,202.31
57993,2552,11501,-0.85,5.48,90.09
57996,2505,11415,-2.77,12.9,225.67
58005,3426,11532,1.19,2.48,71.34
58015,3427,11620,0.45,4.61,199.77
58026,3424,11801,-0.45,9.19,323.61
58027,3417,11710,-1.32,13.09,3129.2
58038,3405,11847,0.3,6.21,252.55
58040,3451,11908,1.22,4.39,81.71
58047,3415,11914,1.08,4.29,96.54
58102,3347,11544,-0.99,10.39,2526.3
58111,3351,11625,-1.09,10.5,1791.93
58118,3316,11631,-0.63,9.24,554.55
58122,3338,11705,-1.42,13.25,1669.58
58130,3356,11757,-0.7,10.07,712.07
58135,3329,11813,-1.38,14.03,1299.11
58138,3257,11830,-1.28,13.82,1393.73
58141,3338,11856,-0.62,0.0,0.0
58143,3348,11951,1.3,3.0,54.08
58150,3345,12018,1.59,2.69,27.99
58158,3310,12027,-0.11,7.28,140.47
58203,3252,11544,-0.02,6.23,278.43
58208,3210,11537,0.14,6.0,218.99
